,entry_date,property_type,Tipology,Condition,Location,Price,areas_sqm,euros/sqm,Latitude,Longitude
0,20/07/20,Apartments,T2,Used,"Aveiro, Aradas",145000,96 ,1518,40.617500,-8.647778
1,20/07/20,Apartments,T2,Used,"Aveiro, Aradas",155000,119,1303,40.617500,-8.647778
2,20/07/20,Apartments,T2,Used,"Aveiro, Aradas",118000,72 ,1639,40.617500,-8.647778
3,20/07/20,Apartments,T2,Used,"Aveiro, Aradas",185000,90 ,2056,40.617500,-8.647778
4,20/07/20,Apartments,T2,New,"Aveiro, Aradas",295000,126,2351,40.617500,-8.647778
5,20/07/20,Apartments,T2,New,"Aveiro, Aradas",305000,125,2440,40.617500,-8.647778
6,20/07/20,Apartments,T2,Used,"Aveiro, Aradas",285000,110,2591,40.617500,-8.647778
7,20/07/20,Apartments,T2,Used,"Aveiro, Aradas",183000,122,1502,40.617500,-8.647778
8,20/07/20,Apartments,T1,New,"Aveiro, Aradas",130000,60 ,2167,40.617500,-8.647778
9,20/07/20,Apartments,T2,New,"Aveiro, Aradas",145000,95 ,1526,40.617500,-8.647778
10,20/07/20,Apartments,T2,New,"Aveiro, Aradas",295000,140,2107,40.617500,-8.647778
11,20/07/20,Apartments,T1,Used,"Aveiro, Aradas",139900,71 ,1970,40.617500,-8.647778
12,20/07/20,Apartments,T1,Used,"Aveiro, Aradas",125000,50 ,2500,40.617500,-8.647778
13,20/07/20,Apartments,T2,Used,"Aveiro, Aradas",145000,96 ,1510,40.617500,-8.647778
14,20/07/20,Apartments,T2,New,"Aveiro, Aradas",145000,83 ,1756,40.617500,-8.647778
15,20/07/20,Apartments,T2,Used,"Aveiro, Aradas",140000,96 ,1458,40.617500,-8.647778
16,20/07/20,Apartments,T1,New,"Aveiro, Aradas",130000,66 ,1961,40.617500,-8.647778
17,20/07/20,Apartments,T2,New,"Aveiro, Aradas",295000,126,2351,40.617500,-8.647778
18,20/07/20,Apartments,T2,Used,"Aveiro, Aradas",305000,126,2430,40.617500,-8.647778
19,20/07/20,Apartments,T2,Used,"Aveiro, Aradas",152500,95 ,1605,40.617500,-8.647778
20,20/07/20,Apartments,T1,Used,"Aveiro, Aradas",170000,68 ,2500,40.617500,-8.647778
21,20/07/20,Apartments,T2,New,"Aveiro, Aradas",145000,87 ,1673,40.617500,-8.647778
22,20/07/20,Apartments,T1,Used,"Aveiro, Aradas",130000,105,1238,40.617500,-8.647778
23,20/07/20,Apartments,T2,Used,"Aveiro, Aradas",145000,83 ,1756,40.617500,-8.647778
24,20/07/20,Apartments,T2,New,"Aveiro, Aradas",145000,136,1066,40.617500,-8.647778
25,20/07/20,Apartments,T1,New,"Aveiro, Aradas",130000,56 ,2321,40.617500,-8.647778
26,20/07/20,Apartments,T2,New,"Aveiro, Aradas",140000,125,1120,40.617500,-8.647778
27,20/07/20,Apartments,T2,New,"Aveiro, Aradas",145000,139,1043,40.617500,-8.647778
28,20/07/20,Apartments,T2,Used,"Aveiro, Aradas",112500,80 ,1408,40.617500,-8.647778
29,20/07/20,Apartments,T2,Used,"Aveiro, Aradas",180000,95 ,1895,40.617500,-8.647778
30,20/07/20,Apartments,T2,New,"Aveiro, Aradas",295000,126,2341,40.617500,-8.647778
31,20/07/20,Apartments,T1,New,"Aveiro, Aradas",130000,72 ,1806,40.617500,-8.647778
32,20/07/20,Apartments,T1,Used,"Aveiro, Aradas",130000,70 ,1857,40.617500,-8.647778
33,20/07/20,Apartments,T2,Used,"Aveiro, Aradas",145000,100,1450,40.617500,-8.647778
34,20/07/20,Apartments,T2,Used,"Aveiro, Aradas",145000,100,1450,40.617500,-8.647778
35,20/07/20,Apartments,T1,Used,"Aveiro, Aradas",130000,65 ,2000,40.617500,-8.647778
36,20/07/20,Apartments,T2,Used,"Aveiro, Aradas",285000,125,2280,40.617500,-8.647778
37,20/07/20,Apartments,T2,New,"Aveiro, Aradas",145000,92 ,1576,40.617500,-8.647778
38,20/07/20,Apartments,T2,New,"Aveiro, Aradas",145000,93 ,1559,40.617500,-8.647778
39,20/07/20,Apartments,T1,New,"Aveiro, Aradas",130000,66 ,1961,40.617500,-8.647778
40,20/07/20,Apartments,T2,New,"Aveiro, Aradas",145000,156,929,40.617500,-8.647778
41,20/07/20,Apartments,T2,Used,"Aveiro, Aradas",179000,90 ,1989,40.617500,-8.647778
42,20/07/20,Apartments,T1,Used,"Aveiro, Aradas",114400,73 ,1567,40.617500,-8.647778
43,25/09/20,Apartments,T1,Used,"Aveiro,Aveiro,Aradas,Rua das Glicnias - Urbanizao Glicnias, Aradas, Aveiro",170000,63 ,2698,"40,62603264","-8,645481241"
44,25/09/20,Apartments,T3,Used,"Aveiro, Aradas",210000,138,1522,"40,61821","-8,6423"
45,25/09/20,Apartments,T2,Used,"Aveiro,Aveiro,Aradas,Rua das Glicnias - Urbanizao Glicnias, Aradas, Aveiro",285000,110,2603,"40,6262235","-8,64537369"
46,25/09/20,Apartments,T1,Used,"Aveiro, Aradas",130000,72 ,1806,"40,61821","-8,6423"
47,25/09/20,Apartments,T3,Used,"Aveiro, Aradas",138000,154,896,"40,6193123","-8,644814"
48,25/09/20,Apartments,T2,Used,"Aveiro,Aveiro,Aradas,Rua do Baixeiro - Bonsucesso, Aradas, Aveiro",125000,83 ,1506,"40,60081","-8,640358"
49,25/09/20,Apartments,T1,Used,"Aveiro, Aradas",130000,62 ,2097,"40,61821","-8,6423"
50,25/09/20,Apartments,T3,Used,"Aveiro,Aveiro,Aradas,Rua das Glicnias - Urbanizao Glicnias, Aradas, Aveiro",225000,110,2045,"40,626327","-8,644778"
51,25/09/20,Apartments,T2,Used,"Aveiro,Aveiro,Aradas,Rua de Ovar, Aradas, Aveiro",129000,78 ,1654,"40,627078","-8,651422"
52,25/09/20,Apartments,T1,Used,"Aveiro, Aradas",130000,66 ,1961,"40,6193123","-8,644814"
53,25/09/20,Apartments,T3,Used,"Aveiro, Aradas",350000,123,2846,"40,62668814","-8,646062636"
